name,number,status
Standarddaemonprocesslibrary,3143,Deferred
Disallowusingmacrosasl-values,674,Deferred
Definedsemanticsforlocals(),558,Deferred
Generator-sensitivityforContextVariables,568,Deferred
Runningextensionmodulesusingthe-moption,547,Deferred
Threadedgarbagecollection,556,Deferred
Richcomparisonchaining,535,Deferred
Deterministiccleanupforiterators,533,Deferred
ImprovedErrorsforMissingStandardLibraryModules,534,Deferred
Acircuitbreakingprotocolandbinaryoperators,532,Deferred
None-awareoperators,505,Deferred
Generalpurposestringinterpolation,501,Deferred
TheWheelBinaryPackageFormat1.9,491,Deferred
,499,Deferred
Namingconventionsandrecipesrelatedtopackaging,423,Deferred
Add__getdescriptor__methodtometaclass,447,Deferred
PythonWeb3Interface,444,Deferred
Protectingcleanupstatementsfrominterruptions,419,Deferred
Newreleasecycleandintroducinglong-termsupportversions,407,Deferred
Deprecatecodecs.StreamReaderandcodecs.StreamWriter,400,Deferred
Generalpurposedecoratorclause(aka“@in”clause),403,Deferred
Standardimageprotocolandclass,368,Deferred
LoggingUsageintheStandardLibrary,337,Deferred
CopyableIterators,323,Deferred
ProgrammingbyContractforPython,316,Deferred
SimpleImplicitLambda,312,Deferred
Optimizingaccesstoglobals,280,Deferred
EnhancedArgumentTuples,286,Deferred
OptimizedAccesstoModuleNamespaces,267,Deferred
PgenModuleforPython,269,Deferred
PythonOnlineHelp,233,Deferred
StacklessPython,219,Deferred
WebLibraryEnhancements,222,Deferred
AttributeAccessHandlers,213,Deferred
MiscellaneousPython3.0Plans,3100,Final
ThingsthatwillNotChangeinPython3000,3099,Final
PythonLanguageMoratorium,3003,Final
PythonGovernanceVotingProcess,8001,Final
ProcedureforBackwards-IncompatibleChanges,3002,Final
Python3.6ReleaseSchedule,494,Final
PythonDocumentationTranslations,545,Final
Python3000,3000,Final
PackageIndexNameRetention,541,Final
Python3.7ReleaseSchedule,537,Final
Migratingfromhg.python.orgtoGitHub,512,Final
Python3.5ReleaseSchedule,478,Final
RemovalofthePyPIMirrorAuthenticityAPI,464,Final
RemovingExternalHostingSupportonPyPI,470,Final
RemovalofthePyPIMirrorAutoDiscoveryandNamingScheme,449,Final
Transitioningtorelease-filehostingonPyPI,438,Superseded
Python3.4ReleaseSchedule,429,Final
Python2.8Un-releaseSchedule,404,Final
Python3.3ReleaseSchedule,398,Final
Python3.2ReleaseSchedule,392,Final
Python2.7ReleaseSchedule,373,Final
Python3.1ReleaseSchedule,375,Final
MigratingfromSubversiontoMercurial,385,Final
ChoosingadistributedVCSforthePythonproject,374,Final
Python2.6and3.0ReleaseSchedule,361,Final
MigratingthePythonCVStoSubversion,347,Final
ExternallyMaintainedPackages,360,Final
Python2.5ReleaseSchedule,356,Final
Python2.4ReleaseSchedule,320,Final
Python2.3ReleaseSchedule,283,Final
Python2.0ReleaseSchedule,200,Final
Python2.1ReleaseSchedule,226,Final
Python2.2ReleaseSchedule,251,Final
Python1.6ReleaseSchedule,160,Final
BugFixReleases,6,Superseded
GuidelinesforLanguageEvolution,5,Superseded
AsynchronousIOSupportRebooted:the“asyncio”Module,3156,Final
Qualifiednameforclassesandfunctions,3155,Final
Pickleprotocolversion4,3154,Final
ReworkingtheOSandIOexceptionhierarchy,3151,Final
ATypeHierarchyforNumbers,3141,Final
ABIversiontagged.sofiles,3149,Final
futures-executecomputationsasynchronously,3148,Final
PYCRepositoryDirectories,3147,Final
IPAddressManipulationLibraryforthePythonStandardLibrary,3144,Final
ImmutableBytesandMutableBuffer,3137,Final
StringrepresentationinPython3000,3138,Final
ExceptionChainingandEmbeddedTracebacks,3134,Final
ExtendedIterableUnpacking,3132,Final
NewSuper,3135,Final
SupportingNon-ASCIIIdentifiers,3131,Final
ClassDecorators,3129,Final
IntegerLiteralSupportandSyntax,3127,Final
MakingPyObject_HEADconformtostandardC,3123,Final
ExtensionModuleInitializationandFinalization,3121,Final
NewI/O,3116,Final
IntroducingAbstractBaseClasses,3119,Final
Revisingthebufferprotocol,3118,Final
UsingUTF-8asthedefaultsourceencoding,3120,Final
MetaclassesinPython3000,3115,Final
Renamingiterator.next()toiterator.__next__(),3114,Final
RemovalofTupleParameterUnpacking,3113,Final
BytesliteralsinPython3000,3112,Final
StandardLibraryReorganization,3108,Final
CatchingExceptionsinPython3000,3110,Final
RaisingExceptionsinPython3000,3109,Final
Simpleinputbuilt-ininPython3000,3111,Final
FunctionAnnotations,3107,Final
"Revampingdict.keys(),.values()and.items()",3106,Final
Makeprintafunction,3105,Final
AccesstoNamesinOuterScopes,3104,Final
Keyword-OnlyArguments,3102,Final
AdvancedStringFormatting,3101,Final
Disablingbdist_eggdistributionuploadsonPyPI,715,Final
Usingtarfile.data_filterforsourcedistributionextraction,721,Final
Inlinedcomprehensions,709,Final
Filterfortarfile.extractall,706,Final
OverrideDecoratorforStaticTyping,698,Final
LimitedCAPIforExtendingOpaqueTypes,697,Final
UsingTypedDictformoreprecise**kwargstyping,692,Final
UnstableCAPItier,689,Final
FormatSpecifierforSignedZero,682,Final
TypeParameterSyntax,695,Final
MakingthebufferprotocolaccessibleinPython,688,Final
tomllib:SupportforParsingTOMLintheStandardLibrary,680,Final
DataClassTransforms,681,Final
IncludeFineGrainedErrorLocationsinTracebacks,657,Final
EnrichingExceptionswithNotes,678,Final
SelfType,673,Final
ConvertmacrostofunctionsinthePythonCAPI,670,Final
ArbitraryLiteralStringType,675,Final
Editableinstallsforpyproject.tomlbasedbuilds(wheelbased),660,Final
LowImpactMonitoringforCPython,669,Final
PlatformTagforLinuxDistributionsUsingMusl,656,Final
RequireOpenSSL1.1.1ornewer,644,Final
ExceptionGroupsandexcept*,654,Final
MarkingindividualTypedDictitemsasrequiredorpotentially-missing,655,Final
MaintainingtheStableABI,652,Final
Deprecatedistutilsmodule,632,Final
MetadataforPackageSourceDistributions,643,Final
StructuralPatternMatching:Specification,634,Final
VersioningPyPI’sSimpleAPI,629,Final
Add,628,Final
Recordinginstalledprojects,627,Final
Preciselinenumbersfordebuggingandothertools.,626,Final
Storingprojectmetadatainpyproject.toml,621,Final
RemovewstrfromUnicode,623,Final
RemovePy_UNICODEencoderAPIs,624,Final
NewPEGparserforCPython,617,Final
AddOptionalLength-CheckingTozip,618,Final
Stringmethodstoremoveprefixesandsuffixes,616,Final
RelaxingGrammarRestrictionsOnDecorators,614,Final
ExplicitTypeAliases,613,Final
ParameterSpecificationVariables,612,Final
Allowwritinguniontypesas,604,Final
RecordingtheDirectURLOriginofinstalleddistributions,610,Final
AddoptionalEncodingWarning,597,Final
Future‘manylinux’PlatformTagsforPortableLinuxBuiltDistributions,600,Final
Removingdeadbatteriesfromthestandardlibrary,594,Final
Flexiblefunctionandvariableannotations,593,Final
Adding“Yank”SupporttotheSimpleAPI,592,Final
TypedDict:TypeHintsforDictionarieswithaFixedSetofKeys,589,Final
Addingafinalqualifiertotyping,591,Final
LiteralTypes,586,Final
TypeHintingGenericsInStandardCollections,585,Final
PythonInitializationConfiguration,587,Final
AddUnionOperatorsTodict,584,Final
Pickleprotocol5without-of-banddata,574,Final
ModuleStateAccessfromCExtensionMethods,573,Final
AssignmentExpressions,572,Final
MetadataforPythonSoftwarePackages2.1,566,Final
ContextVariables,567,Final
PythonPositional-OnlyParameters,570,Final
ShowDeprecationWarningin__main__,565,Final
DistributingandPackagingTypeInformation,561,Final
Addnewtimefunctionswithnanosecondresolution,564,Final
Coresupportfortypingmoduleandgenerictypes,560,Final
Module__getattr__and__dir__,562,Final
Built-inbreakpoint(),553,Final
Deterministicpycs,552,Final
DataClasses,557,Final
Protocols:Structuralsubtyping(staticducktyping),544,Final
AddanewUTF-8Mode,540,Final
ANewC-APIforThread-LocalStorageinCPython,539,Final
CoercingthelegacyClocaletoaUTF-8basedlocale,538,Final
AsynchronousComprehensions,530,Final
ChangeWindowsfilesystemencodingtoUTF-8,529,Final
ChangeWindowsconsoleencodingtoUTF-8,528,Final
RemovingUn(der)usedfiletypes/extensionsonPyPI,527,Final
AsynchronousGenerators,525,Final
SyntaxforVariableAnnotations,526,Final
PreservingClassAttributeDefinitionOrder,520,Final
AddingaframeevaluationAPItoCPython,523,Final
Addingafilesystempathprotocol,519,Final
Makeos.urandom()blockingonLinux,524,Final
SpecifyingMinimumBuildSystemRequirementsforPythonProjects,518,Final
Abuild-systemindependentformatforsourcetrees,517,Final
LiteralStringInterpolation,498,Final
UnderscoresinNumericLiterals,515,Final
Coroutineswithasyncandawaitsyntax,492,Final
DependencyspecificationforPythonSoftwarePackages,508,Final
SimpleRepositoryAPI,503,Final
AddingASecretsModuleToTheStandardLibrary,506,Final
HTTPSverificationmigrationtoolsforPython2.7,493,Final
LocalTimeDisambiguation,495,Final
TypeHints,484,Final
EliminationofPYOfiles,488,Final
Multi-phaseextensionmoduleinitialization,489,Final
ChangeStopIterationhandlinginsidegenerators,479,Final
Simplercustomisationofclasscreation,487,Final
AFunctionfortestingapproximateequality,485,Final
MakethePythonLauncherawareofvirtualenvironments,486,Final
Backportensurepip(PEP453)toPython2.7,477,Final
RetrysystemcallsfailingwithEINTR,475,Final
Enablingcertificateverificationbydefaultforstdlibhttpclients,476,Final
Preservingtheorderof**kwargsinafunction.,468,Final
os.scandir()function–abetterandfasterdirectoryiterator,471,Final
NetworkSecurityEnhancementsforPython2.7.x,466,Final
Adedicatedinfixoperatorformatrixmultiplication,465,Final
Adding%formattingtobytesandbytearray,461,Final
Secureandinterchangeablehashalgorithm,456,Final
AddanewtracemallocmoduletotracePythonmemoryallocations,454,Final
AddingAStatisticsModuleToTheStandardLibrary,450,Final
ExplicitbootstrappingofpipinPythoninstallations,453,Final
AdditionalUnpackingGeneralizations,448,Final
AModuleSpecTypefortheImportSystem,451,Final
ImprovingPythonZIPApplicationSupport,441,Final
VersionIdentificationandDependencySpecification,440,Final
Makenewlycreatedfiledescriptorsnon-inheritable,446,Final
AddnewAPIstocustomizePythonmemoryallocators,445,Final
Single-dispatchgenericfunctions,443,Final
Safeobjectfinalization,442,Final
AddinganEnumtypetothePythonstandardlibrary,435,Final
TheArgumentClinicDSL,436,Final
Thepathlibmodule–object-orientedfilesystempaths,428,Final
TheWheelBinaryPackageFormat1.0,427,Final
Amethodforexposingalengthhint,424,Final
CompatibilityTagsforBuiltDistributions,425,Final
Addingsys.implementation,421,Final
ImplicitNamespacePackages,420,Final
"Addmonotonictime,performancecounter,andprocesstimefunctions",418,Final
Implementcontextsuppressionwithexceptionattributes,415,Final
IncludingmockintheStandardLibrary,417,Final
PythonlauncherforWindows,397,Final
Key-SharingDictionary,412,Final
ExplicitUnicodeLiteralforPython3.3,414,Final
Suppressingexceptioncontext,409,Final
PythonVirtualEnvironments,405,Final
FlexibleStringRepresentation,393,Final
argparse-NewCommandLineParsingModule,389,Final
DefiningaStableABI,384,Final
Dictionary-BasedConfigurationForLogging,391,Final
FormatSpecifierforThousandsSeparator,378,Final
SyntaxforDelegatingtoaSubgenerator,380,Final
DatabaseofInstalledPythonDistributions,376,Final
Non-decodableBytesinSystemCharacterInterfaces,383,Final
Addinganordereddictionarytocollections,372,Final
Mainmoduleexplicitrelativeimports,366,Final
Additionofthemultiprocessingpackagetothestandardlibrary,371,Final
Perusersite-packagesdirectory,370,Final
FunctionSignatureObject,362,Final
Usingssize_tastheindextype,353,Final
The“bytes”Object,358,Final
The“with”Statement,343,Final
AllowingAnyObjecttobeUsedforSlicing,357,Final
Imports:Multi-LineandAbsolute/Relative,328,Final
RequiredSuperclassforExceptions,352,Final
CoroutinesviaEnhancedGenerators,342,Final
Executingmodulesasscripts,338,Final
Unifyingtry-exceptandtry-finally,341,Final
Locale-IndependentFloat/StringConversions,331,Final
DecimalDataType,327,Final
subprocess-Newprocessmodule,324,Final
ReverseIteration,322,Final
DecoratorsforFunctionsandMethods,318,Final
SimplifiedGlobalInterpreterLockAcquisitionforExtensions,311,Final
PartialFunctionApplication,309,Final
ConditionalExpressions,308,Final
NewImportHooks,302,Final
Extensionstothepickleprotocol,307,Final
CSVFileAPI,305,Final
PackageIndexandMetadataforDistutils,301,Final
SimplerStringSubstitutions,292,Final
CodecErrorHandlingCallbacks,293,Final
Addingabooltype,285,Final
GeneratorExpressions,289,Final
ALoggingSystem,282,Final
Theenumerate()built-infunction,279,Final
UniversalNewlineSupport,278,Final
UnicodefilenamesupportforWindowsNT,277,Final
Supportfor“wide”Unicodecharacters,261,Final
DictComprehensions,274,Final
ImportModulesfromZipArchives,273,Final
Futurestatementsinsimulatedshells,264,Final
DefiningPythonSourceCodeEncodings,263,Final
Simplifyxrange(),260,Final
MakingTypesLookMoreLikeClasses,252,Final
SimpleGenerators,255,Final
ChangingtheDivisionOperator,238,Final
SubtypingBuilt-inTypes,253,Final
Usingsite-packagesonWindows,250,Final
Backtothe__future__,236,Final
UnifyingLongIntegersandIntegers,237,Final
ImportonCase-InsensitivePlatforms,235,Final
ChangetheMeaningof,223,Final
Iterators,234,Final
UsingDistutilstoBuildPython,229,Final
WarningFramework,230,Final
StaticallyNestedScopes,227,Final
FunctionAttributes,232,Final
ImportAs,221,Final
DisplayHookforInteractiveUse,217,Final
AddingaBuilt-InSetObjectType,218,Final
ReworkingtheCoercionModel,208,Final
RichComparisons,207,Final
AugmentedAssignments,203,Final
ListComprehensions,202,Final
ExtendedPrintStatement,214,Final
WeakReferences,205,Final
AddingAndroidasasupportedplatform,738,Draft
NarrowingtypeswithTypeIs,742,Draft
LockstepIteration,201,Final
StaticdescriptionfileforbuilddetailsofPythoninstallations,739,Draft
AddPy_COMPAT_API_VERSIONtothePythonCAPI,743,Draft
PythonConfigurationCAPI,741,Draft
Indexsupportfordigitalattestations,740,Draft
PythonUnicodeIntegration,100,Final
Shorthandsyntaxforkeywordargumentsatinvocation,736,Draft
MultipleInterpretersintheStdlib,734,Draft
Unifytypenameformatting,737,Draft
DependencyGroupsinpyproject.toml,735,Draft
DocumentationinAnnotatedMetadata,727,Draft
AnEvaluationofPython’sPublicCAPI,733,Draft
TypedDictwithTypedExtraItems,728,Draft
Specifyingexternaldependenciesinpyproject.toml,725,Draft
Upload2.0APIforPythonPackageRepositories,694,Draft
Syntaxforlate-boundfunctionargumentdefaults,671,Draft
Subscriptablefunctions,718,Draft
Addinga“converter”parametertodataclasses.field,712,Draft
PyBI:astandardformatfordistributingPythonBinaries,711,Draft
Cross-compilingPythonpackages,720,Draft
Recordingtheprovenanceofinstalledpackages,710,Draft
Allowparenthesesinassertstatements,679,Draft
Consistentviewsofnamespaces,667,Draft
SyntacticMacros,638,Draft
Addingafrozenmaptypetocollections,603,Draft
ImprovingLicenseClaritywithBetterPackageMetadata,639,Draft
SentinelValues,661,Draft
GitHubIssuesMigrationPlan,588,Draft
SpecializingAdaptiveInterpreter,659,Draft
PreciseSemanticsforPatternMatching,653,Draft
SurvivingaCompromiseofPyPI:End-to-endsigningofpackages,480,Draft
Markingdeprecationsusingthetypesystem,702,Accepted
TypedDict:Read-onlyitems,705,Accepted
Inlinescriptmetadata,723,Accepted
AddingiOSasasupportedplatform,730,Accepted
MakingtheGlobalInterpreterLockOptionalinCPython,703,Accepted
Renamedist-info-metadataintheSimpleAPI,714,Accepted
MinorAPIimprovementsforbinarysequences,467,Draft
Syntacticformalizationoff-strings,701,Accepted
MakeUTF-8modedefault,686,Accepted
RemoveprivatedictversionfieldaddedinPEP509,699,Accepted
AdditionalFieldsfortheSimpleAPIforPackageIndexes,700,Accepted
TypeDefaultsforTypeParameters,696,Accepted
JSON-basedSimpleAPIforPythonPackageIndexes,691,Accepted
Comparisonofextranamesforoptionaldistributiondependencies,685,Accepted
Isolatingmodulesinthestandardlibrary,687,Accepted
APer-InterpreterGIL,684,Accepted
"ImmortalObjects,UsingaFixedRefcount",683,Accepted
DeferredEvaluationOfAnnotationsUsingDescriptors,649,Accepted
MarkingPythonbaseenvironmentsas“externallymanaged”,668,Accepted
User-DefinedTypeGuards,647,Accepted
ServeDistributionMetadataintheSimpleRepositoryAPI,658,Accepted
PostponedEvaluationofAnnotations,563,Accepted
PythonRuntimeAuditHooks,578,Accepted
FilenameofaSourceDistribution,625,Accepted
SupportfortheIANATimeZoneDatabaseintheStandardLibrary,615,Accepted
VariadicGenerics,646,Accepted
SecurePyPIdownloadswithsignedrepositorymetadata,458,Accepted
Vectorcall:afastcallingprotocolforCPython,590,Accepted
2024TermSteeringCouncilelection,8105,Active
ExtendingtheRepositoryAPItoMitigateDependencyConfusionAttacks,708,Provisional
2023TermSteeringCouncilelection,8104,Active
2022TermSteeringCouncilelection,8103,Final
2020TermSteeringCouncilelection,8101,Final
January2019SteeringCouncilelection,8100,Final
2021TermSteeringCouncilelection,8102,Final
TheSteeringCouncilModel,8016,Accepted
OpenSourceGovernanceSurvey,8002,Final
PythonLanguageGovernanceProposalOverview,8000,Final
Python3.11ReleaseSchedule,664,Active
Python3.13ReleaseSchedule,719,Active
Python3.12ReleaseSchedule,693,Active
Python3.10ReleaseSchedule,619,Active
Unicode-relatedSecurityConsiderationsforPython,672,Active
StructuralPatternMatching:Tutorial,636,Final
Reserved,801,Active
StructuralPatternMatching:MotivationandRationale,635,Final
PythonWebServerGatewayInterfacev1.0.1,3333,Final
Python3.9ReleaseSchedule,596,Active
IsolatingExtensionModules,630,Final
ReducingCPython’sFeatureDeliveryLatency,607,Final
Python3.8ReleaseSchedule,569,Active
PythonregistrationintheWindowsregistry,514,Active
