number,name,status
1,PEPPurposeandGuidelines,Active
457,NotationForPositional-OnlyParameters,Final
569,Python3.8ReleaseSchedule,Active
579,RefactoringCfunctionsandmethods,Final
452,APIforCryptographicHashFunctionsv2.0,Final
514,PythonregistrationintheWindowsregistry,Active
602,AnnualReleaseCycleforPython,Accepted
482,LiteratureOverviewforTypeHints,Final
596,Python3.9ReleaseSchedule,Active
483,TheTheoryofTypeHints,Final
434,IDLEEnhancementExceptionforAllBranches,Active
430,MigratingtoPython3asthedefaultonlinedocumentation,Final
399,PurePython/CAcceleratorModuleCompatibilityRequirements,Final
394,The“python”CommandonUnix-LikeSystems,Active
291,BackwardCompatibilityforthePython2StandardLibrary,Final
354,EnumerationsinPython,Superseded
333,PythonWebServerGatewayInterfacev1.0,Final
530,AsynchronousComprehensions,Final
8013,TheExternalCouncilGovernanceModel,Rejected
8015,OrganizationofthePythoncommunity,Rejected
8014,TheCommonsGovernanceModel,Rejected
8011,PythonGovernanceModelLeadbyTrioofPythonistas,Rejected
8012,TheCommunityGovernanceModel,Rejected
3153,AsynchronousIOsupport,Superseded
3152,Cofunctions,Rejected
8010,TheTechnicalLeaderGovernanceModel,Rejected
3146,MergingUnladenSwallowintoCPython,Withdrawn
3139,Cleaningoutsysandthe“interpreter”module,Rejected
3145,AsynchronousI/OForsubprocess.Popen,Withdrawn
3136,Labeledbreakandcontinue,Rejected
3133,IntroducingRoles,Rejected
3142,Adda“while”clausetogeneratorexpressions,Rejected
3140,"str(container)shouldcallstr(item),notrepr(item)",Rejected
3130,AccesstoCurrentModule/Class/Function,Rejected
3122,Delineationofthemainmodule,Rejected
3128,BList:AFasterList-likeType,Rejected
3126,RemoveImplicitStringConcatenation,Rejected
3125,RemoveBackslashContinuation,Rejected
3103,ASwitch/CaseStatement,Rejected
3001,Procedureforreviewingandimprovingstandardlibrarymodules,Withdrawn
3117,Postfixtypedeclarations,Rejected
754,IEEE754FloatingPointSpecialValues,Rejected
726,Module,Rejected
724,StricterTypeGuards,Withdrawn
713,CallableModules,Rejected
690,LazyImports,Rejected
722,Dependencyspecificationforsingle-filescripts,Rejected
704,Requirevirtualenvironmentsbydefaultforpackageinstallers,Withdrawn
707,Asimplifiedsignaturefor__exit__and__aexit__,Rejected
677,CallableTypeSyntax,Rejected
666,RejectFoolishIndentation,Rejected
665,AfileformattolistPythondependenciesforreproducibilityofanapplication,Rejected
663,"StandardizingEnumstr(),repr(),andformat()behaviors",Rejected
651,RobustStackOverflowHandling,Rejected
650,SpecifyingInstallerRequirementsforPythonProjects,Withdrawn
662,Editableinstallsviavirtualwheels,Rejected
648,Extensiblecustomizationsoftheinterpreteratstartup,Rejected
645,Allowwritingoptionaltypesas,Withdrawn
640,Unusedvariablesyntax,Rejected
641,UsinganunderscoreintheversionportionofPython3.10compatibilitytags,Rejected
642,ExplicitPatternSyntaxforStructuralPatternMatching,Rejected
637,Supportforindexingwithkeywordarguments,Rejected
633,Dependencyspecificationinpyproject.tomlusinganexplodedTOMLtable,Rejected
631,Dependencyspecificationinpyproject.tomlbasedonPEP508,Superseded
620,HideimplementationdetailsfromtheCAPI,Withdrawn
622,StructuralPatternMatching,Superseded
608,CoordinatedPythonrelease,Rejected
601,Forbidreturn/break/continuebreakingoutoffinally,Rejected
611,Theonemillionlimit,Withdrawn
606,PythonCompatibilityVersion,Rejected
605,ArollingfeaturereleasestreamforCPython,Rejected
598,Introducingincrementalfeaturereleases,Withdrawn
599,Themanylinux2014PlatformTag,Superseded
595,Improvingbugs.python.org,Withdrawn
583,AConcurrencyMemoryModelforPython,Withdrawn
580,TheCcallprotocol,Rejected
577,AugmentedAssignmentExpressions,Withdrawn
582,Pythonlocalpackagesdirectory,Rejected
575,Unifyingfunction/methodclasses,Withdrawn
576,RationalizeBuilt-infunctionclasses,Withdrawn
559,Built-innoop(),Rejected
571,Themanylinux2010PlatformTag,Superseded
555,Context-localvariables(contextvars),Withdrawn
551,SecuritytransparencyinthePythonruntime,Withdrawn
554,MultipleInterpretersintheStdlib,Superseded
546,Backportssl.MemoryBIOandssl.SSLObjecttoPython2.7,Rejected
550,ExecutionContext,Withdrawn
549,InstanceDescriptors,Rejected
548,MoreFlexibleLoopControl,Rejected
543,AUnifiedTLSAPIforPython,Withdrawn
536,FinalGrammarforLiteralStringInterpolation,Withdrawn
542,DotNotationAssignmentInFunctionHeader,Rejected
531,Existencecheckingoperators,Withdrawn
522,AllowBlockingIOErrorinsecuritysensitiveAPIs,Rejected
516,Buildsystemabstractionforpip/condaetc,Rejected
513,APlatformTagforPortableLinuxBuiltDistributions,Superseded
521,Managingglobalcontextvia‘with’blocksingeneratorsandcoroutines,Withdrawn
510,Specializefunctionswithguards,Rejected
511,APIforcodetransformers,Rejected
509,Addaprivateversiontodict,Superseded
504,UsingtheSystemRNGbydefault,Withdrawn
496,EnvironmentMarkers,Rejected
502,StringInterpolation-ExtendedDiscussion,Rejected
507,MigrateCPythontoGitandGitLab,Rejected
500,Aprotocolfordelegatingdatetimemethodstotheirtzinfoimplementations,Rejected
497,Astandardmechanismforbackwardcompatibility,Rejected
481,"MigrateCPythontoGit,Github,andPhabricator",Withdrawn
474,Creatingforge.python.org,Withdrawn
490,ChainexceptionsatClevel,Rejected
473,Addingstructureddatatobuilt-inexceptions,Rejected
460,Addbinaryinterpolationandformatting,Withdrawn
472,Supportforindexingwithkeywordarguments,Rejected
463,Exception-catchingexpressions,Rejected
469,MigrationofdictiterationcodetoPython3,Withdrawn
462,CoredevelopmentworkflowautomationforCPython,Withdrawn
455,Addingakey-transformingdictionarytocollections,Rejected
439,InclusionofimplicitpipbootstrapinPythoninstallation,Rejected
431,Timezonesupportimprovements,Superseded
437,"ADSLforspecifyingsignatures,annotationsandargumentconverters",Rejected
433,Easiersuppressionoffiledescriptorinheritance,Superseded
432,RestructuringtheCPythonstartupsequence,Withdrawn
426,MetadataforPythonSoftwarePackages2.0,Withdrawn
422,Simplercustomisationofclasscreation,Withdrawn
459,StandardMetadataExtensionsforPythonSoftwarePackages,Withdrawn
416,Addafrozendictbuiltintype,Rejected
410,Usedecimal.Decimaltypefortimestamps,Rejected
408,Standardlibrary__preview__package,Rejected
413,FasterevolutionofthePythonStandardLibrary,Withdrawn
