number,name,status
1,PEPPurposeandGuidelines,Active
602,AnnualReleaseCycleforPython,Accepted
596,Python3.9ReleaseSchedule,Active
569,Python3.8ReleaseSchedule,Active
619,Python3.10ReleaseSchedule,Active
579,RefactoringCfunctionsandmethods,Final
607,ReducingCPython’sFeatureDeliveryLatency,Final
514,PythonregistrationintheWindowsregistry,Active
483,TheTheoryofTypeHints,Final
482,LiteratureOverviewforTypeHints,Final
452,APIforCryptographicHashFunctionsv2.0,Final
457,NotationForPositional-OnlyParameters,Final
434,IDLEEnhancementExceptionforAllBranches,Active
430,MigratingtoPython3asthedefaultonlinedocumentation,Final
399,PurePython/CAcceleratorModuleCompatibilityRequirements,Final
8015,OrganizationofthePythoncommunity,Rejected
394,The“python”CommandonUnix-LikeSystems,Active
8011,PythonGovernanceModelLeadbyTrioofPythonistas,Rejected
8014,TheCommonsGovernanceModel,Rejected
8013,TheExternalCouncilGovernanceModel,Rejected
3152,Cofunctions,Rejected
8012,TheCommunityGovernanceModel,Rejected
3153,AsynchronousIOsupport,Superseded
8010,TheTechnicalLeaderGovernanceModel,Rejected
3146,MergingUnladenSwallowintoCPython,Withdrawn
3142,Adda“while”clausetogeneratorexpressions,Rejected
3140,"str(container)shouldcallstr(item),notrepr(item)",Rejected
3133,IntroducingRoles,Rejected
3139,Cleaningoutsysandthe“interpreter”module,Rejected
3145,AsynchronousI/OForsubprocess.Popen,Withdrawn
3136,Labeledbreakandcontinue,Rejected
3130,AccesstoCurrentModule/Class/Function,Rejected
3128,BList:AFasterList-likeType,Rejected
3125,RemoveBackslashContinuation,Rejected
3126,RemoveImplicitStringConcatenation,Rejected
3117,Postfixtypedeclarations,Rejected
3103,ASwitch/CaseStatement,Rejected
754,IEEE754FloatingPointSpecialValues,Rejected
3122,Delineationofthemainmodule,Rejected
3001,Procedureforreviewingandimprovingstandardlibrarymodules,Withdrawn
726,Module,Rejected
724,StricterTypeGuards,Withdrawn
713,CallableModules,Rejected
707,Asimplifiedsignaturefor__exit__and__aexit__,Rejected
704,Requirevirtualenvironmentsbydefaultforpackageinstallers,Withdrawn
722,Dependencyspecificationforsingle-filescripts,Rejected
690,LazyImports,Rejected
677,CallableTypeSyntax,Rejected
666,RejectFoolishIndentation,Rejected
663,"StandardizingEnumstr(),repr(),andformat()behaviors",Rejected
662,Editableinstallsviavirtualwheels,Rejected
651,RobustStackOverflowHandling,Rejected
665,AfileformattolistPythondependenciesforreproducibilityofanapplication,Rejected
650,SpecifyingInstallerRequirementsforPythonProjects,Withdrawn
648,Extensiblecustomizationsoftheinterpreteratstartup,Rejected
645,Allowwritingoptionaltypesas,Withdrawn
642,ExplicitPatternSyntaxforStructuralPatternMatching,Rejected
641,UsinganunderscoreintheversionportionofPython3.10compatibilitytags,Rejected
633,Dependencyspecificationinpyproject.tomlusinganexplodedTOMLtable,Rejected
637,Supportforindexingwithkeywordarguments,Rejected
